Epochs,Train on,Evaluate on Hard,Evaluate on Soft
10,Hard,0.83370151519775393,1.8899919986724854
10,Soft,1.0279292464256287,1.386453914642334
20,Hard,0.81130295991897583,3.394444465637207
20,Soft,1.0340934038162231,1.3759759187698364
30,Hard,0.70791614055633545,3.7464925289154052
30,Soft,1.1517311811447144,1.1970803260803222
40,Hard,0.68807692527770992,3.1342574119567872
40,Soft,1.0439578533172607,1.1848820686340331
50,Hard,0.68194251060485844,3.900916576385498
50,Soft,1.5613640069961547,1.0114373803138732
60,Hard,0.64690651893615725,4.6430523872375487
60,Soft,1.6151898145675658,1.0069638848304749
70,Hard,0.56533423662185667,5.1700339317321777
70,Soft,1.6159331560134889,1.0057257175445558
80,Hard,0.56357284784317019,5.0789716720581053
80,Soft,1.609589123725891,1.0073940634727478
90,Hard,0.56238361597061159,4.6527670860290531
90,Soft,1.5976797103881837,1.0070008873939513
100,Hard,0.56542458534240725,5.2010756492614743
100,Soft,1.581707239151001,1.0061251640319824
110,Hard,0.5611562848091125,5.1042006492614744
110,Soft,1.6486409664154054,1.0058499932289124
120,Hard,0.56261632442474363,5.138051605224609
120,Soft,1.5720007181167603,1.0090132713317872
130,Hard,0.56612693071365361,5.220408248901367
130,Soft,1.6373004198074341,1.007154393196106
140,Hard,0.56542413234710698,5.2093590736389164
140,Soft,1.6514864206314086,1.0090964317321778
150,Hard,0.56366974115371704,5.2228855133056644
150,Soft,1.6392219066619873,1.0085447072982787
160,Hard,0.56655093431472781,5.206349945068359
160,Soft,1.5996988773345948,1.0094883799552918
170,Hard,0.56385350227355957,5.2020172119140629
170,Soft,1.6819877862930297,1.0095906734466553
180,Hard,0.56930992603302,5.1942608833312987
180,Soft,1.6103641510009765,1.0072172880172729
190,Hard,0.56195206642150874,5.2287117004394528
190,Soft,1.6243356943130494,1.006054973602295
200,Hard,0.5616544365882874,5.1382663726806639
200,Soft,1.6116062641143798,1.0072973012924193
210,Hard,0.56443778276443479,5.2186063766479496
210,Soft,1.6833973407745362,1.0135288476943969
220,Hard,0.56289851665496826,5.2123847007751465
220,Soft,1.331497597694397,4.4304317474365238
230,Hard,0.56504180431365969,5.2177288055419924
230,Soft,1.3373119115829468,4.4303273200988773
240,Hard,0.56407415866851807,5.2142422676086424
240,Soft,1.3276303052902221,4.4300764083862303
250,Hard,0.56406719684600826,5.2295499801635739
250,Soft,1.3432002544403077,4.4286486625671388
260,Hard,0.56445306539535522,5.2203144073486332
260,Soft,1.3508026123046875,4.4292520523071293
270,Hard,0.56635398864746089,5.2279091835021969
270,Soft,1.3357190370559693,4.4288269996643068
280,Hard,0.56666388511657717,5.2403428077697756
280,Soft,1.3366537332534789,4.4295130729675289
290,Hard,0.56556646823883061,5.233568859100342
290,Soft,1.336797022819519,4.4285503387451168
300,Hard,0.56539522409439091,5.2157028198242186
300,Soft,1.3453944683074952,4.4285978317260746
310,Hard,0.56791604757308956,5.222152519226074
310,Soft,1.3340224742889404,4.4286846160888675
320,Hard,0.56771112680435176,5.2319730758666996
320,Soft,1.3473842382431029,4.4290486335754391
330,Hard,0.5649514436721802,5.2340699195861813
330,Soft,1.3469976186752319,4.428359413146973
340,Hard,0.56963562965393066,5.2260987281799318
340,Soft,1.3467510700225831,4.4291028022766117
350,Hard,0.56619042158126831,5.2445950508117676
350,Soft,1.3716799736022949,4.4301051139831547
360,Hard,0.56445419788360596,5.238383865356445
360,Soft,1.3501473188400268,4.4295328140258787
370,Hard,0.56321203708648682,5.2262401580810547
370,Soft,1.3589734077453612,4.4290436744689945
380,Hard,0.56216075420379641,5.2292312622070316
380,Soft,1.3749984502792358,4.4294234275817868
390,Hard,0.56185741424560542,5.240546703338623
390,Soft,1.3815339803695679,4.4293228149414059
400,Hard,0.56255954504013062,5.2423820495605469
400,Soft,1.3660073518753051,4.4289467811584471
410,Hard,0.56514068841934206,5.2361198425292965
410,Soft,1.3448979139328003,4.4291551589965819
420,Hard,0.56324552297592168,5.2279320716857907
420,Soft,1.3701384305953979,4.4287961006164549
430,Hard,0.56235002279281621,5.2048101425170898
430,Soft,1.3703732490539551,4.4281085968017582
440,Hard,0.56174216270446775,5.2316631317138675
440,Soft,1.3686018466949463,4.4289116859436035
450,Hard,0.56507729291915898,5.2288222312927246
450,Soft,1.3409928321838378,4.4292961120605465
460,Hard,0.56275721788406374,5.2365147590637209
460,Soft,1.349934959411621,4.4290733337402344
470,Hard,0.56179584264755245,5.234455490112305
470,Soft,1.3646103858947753,4.4289678573608402
480,Hard,0.56173861026763916,5.2338664054870607
480,Soft,1.362912940979004,4.4288967132568358
490,Hard,0.5617841839790344,5.2411452293395993
490,Soft,1.3478764057159425,4.4293093681335449
